t,u1,u2,u3,f1,f2
0.92030674,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9236412,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9269756,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9303101,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.93364453,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.93697894,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9403134,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.94364786,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9469823,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9503167,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9536512,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.95698565,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.96032006,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9636545,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.966989,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9703234,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.97365785,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9769923,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9803268,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9836612,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.98699564,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9903301,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.9936645,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
0.99699897,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
1.0003334,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
1.0036678,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
1.0070024,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
1.0103368,0.8615448,0.04144025,0.0012976527,-0.024219587,-5.5134296e-06
1.0136712,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0170057,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0203401,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0236745,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.027009,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0303434,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0336778,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0370123,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0403467,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0436811,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0470157,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0503501,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0536845,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.057019,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0603534,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0636879,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0670223,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0703567,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0736912,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0770257,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.08036,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0836946,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.087029,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0903634,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0936979,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.0970323,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1003667,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1037012,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1070356,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.11037,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1137046,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.117039,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1203734,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1237079,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1270423,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1303768,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1337112,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1370456,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1403801,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1437145,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.147049,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1503835,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1537179,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1570523,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1603868,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1637212,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1670556,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1703901,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1737245,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1770589,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1803935,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1837279,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1870623,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1903968,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1937312,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.1970657,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2004001,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2037345,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.207069,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2104034,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2137378,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.2170724,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
